link,likes,caption,posting_time
https://www.instagram.com/p/DKb-CS2BlgY/,186,"2w
Delhi Capitals' Report Card 📊 | IPL 2025 🔥

✅ 14 Matches | 7 Wins | 6 Losses | 1 No Result | 15 Points

[Delhi Capitals IPL 2025 stats, DC IPL report card, Delhi Capitals top players 2025, IPL 2025 team standings, IPL 2025 player records, DC highest total IPL 2025, Kuldeep Yadav IPL stats, IPL 2025 match results]",2025-06-03T11:30:15.000Z
https://www.instagram.com/p/DKKcbGVyOS8/,"15,820","3w
It Feels Different 🗿🔥
(Lsgvsrcb, Rishabh pant, IPL 2025, Cricket, KL Rahul , Delhi Capitals, Lucknow Super Giants )
        _fanclub❤️❤️ fans fans",2025-05-27T16:09:25.000Z
https://www.instagram.com/p/DKC7a2Hyell/,39,"3w
Delhi Capitals end their IPL 2025 campaign with a win👏

                 2025  2025",2025-05-24T18:06:21.000Z
https://www.instagram.com/p/DJwB57ipoKn/,"1,811","4w
🚨 KL RAHUL AS OPENER FOR DC 🚨 

- KL Rahul is likely to open for Delhi Capitals in the remainder of IPL 2025. (Sahil Malhotra/TOI).

                   ncricket  ncricketteam  lovers   eamindia  er",2025-05-17T09:57:27.000Z
https://www.instagram.com/p/DHlVfzkimol/,958,"12w
🔥 IPL Showdown Alert! 🔥

🏏 The battle is on! Delhi Capitals ⚔️ take on Lucknow Giants in the 4th T20 match of the season! Who’s taking the win? 🏆

📅 Date: Monday, 24th March 2025
⏰ Time: 7:30 PM IST

Drop your predictions in the comments! ⬇️🎯",2025-03-24T13:14:14.000Z
https://www.instagram.com/p/DIhKke7BABY/,13,"9w
Starc steals the show! 💥 Super Over madness & DC comes out on top! 💪

📸: IG

Disclaimer: Photo belong to original creators. Shared for info only. No profit intended. DM for removal.
[IPL, IPL 2025, Mitchell Starc, Delhi Capitals, DCvsRR, Cricket Records]",2025-04-16T18:53:10.000Z
https://www.instagram.com/p/DJ6FHKIM56c/,"17,272","4w
आयपीएलमध्ये प्लेऑफ गाठण्यासाठी शिल्लक असलेल्या एकमेव जागेसाठी शर्यतीत असलेल्या मुंबई इंडियन्स आणि दिल्ली कॅपिटल्स यांच्यात आज सामना होत आहे. हा सामना जिंकला, तर मुंबईला एक सामना शिल्लक असण्यापूर्वीच बाद फेरी निश्चित करता येणार आहे, पण यलो अलर्टसह आजपासून मुंबईत जोरदार पावसाचा अंदाज व्यक्त करण्यात आला आहे. 
या सामन्यापूर्वी दिल्ली कॅपिटल्सचे मालक पार्थ जिंदाल यांनी सामना मुंबईऐवजी दुसऱ्या शहरात खेळवण्याची मागणी केली आहे. पार्थ जिंदाल यांनी याबाबत प्रतिक्रिया दिली आहे. ते म्हणाले, “आजचा सामना अत्यंत महत्त्वाचा आहे. मात्र, मुंबईत पावसाचा यलो अलर्ट जारी करण्यात आला आहे. त्यामुळे हा सामना रद्द होण्याची शक्यता आहे. अशा परिस्थितीत हा सामना दुसऱ्या शहरात खेळवणे योग्य ठरेल.” मात्र, आज रात्री 7:30 वाजता सामन्याला सुरुवात होणार असल्याने तो तातडीने दुसऱ्या शहरात हलवणे शक्य नाही.
        ing   2025
IPL, IPL 2025, Mumbai Indians, delhi capitals, MI vs DC, wankhede stadium",2025-05-21T07:37:53.000Z
https://www.instagram.com/p/DJg8QXSp4fy/,"85,945","5w
Josh Hazlewood likely out for the season due to injury — a big setback for RCB 🟥

And now, Mitchell Starc from Delhi Capitals 🟦 likely says NO to IPL 2025!

        forever     fc",2025-05-11T13:19:29.000Z
https://www.instagram.com/p/DI9bLEiBuw6/,"6,620","7w
Our boys will be back💙❤️
@delhicapitals  @dctoli

[DC, Delhi Capitals, TATA IPL, cricket, DCvsRCB, trending]",2025-04-27T18:16:59.000Z
https://www.instagram.com/p/DJYncDmTIn3/,,"6w
🔥 Battle at Mullanpur! 
PBKS take on DC in a thrilling contest — can Punjab dominate at home or will Delhi Capitals bounce back strong?

📸 Getty",2025-05-08T07:43:39.000Z
https://www.instagram.com/p/DKDV1w9h_Y-/,7,"3w
🏏💙 Delhi Capitals isn’t just a team — it’s my passion, my story, my dream.

From day one, I’ve been hooked on every ball, every boundary, every moment on the field. 
Despite the ups and downs, my faith in DC is unshakable. 

Now, I’m starting this journey as @theharshcricket — to share my love, insights, and the spirit of Delhi Capitals with you all. 

One day, I want to be right inside the DC media camp, living and breathing this game.

If you bleed blue like me, hit that follow button and let’s ride this IPL season together! 
Comment your favorite Delhi Capitals player 👇",2025-05-24T21:57:15.000Z
https://www.instagram.com/p/DGInG5kvSsc/,109,"17w
Delhi Capitals’ Battle Plan is Set! 💙

The complete IPL 2025 schedule is here 🏏

📸: JioHotstar",2025-02-16T12:58:43.000Z
https://www.instagram.com/p/DGk4YEOSUc1/,,"Edited
•
Delhi capitals appointed Kevin Pietersen as mentor for IPL 2025",2025-02-27T12:30:15.000Z
https://www.instagram.com/p/DJoZSuIS5uV/,"26,890","5w
🚨 NEWS : Mustafizur Rahman replaces Jake Fraser-McGruk in Delhi Capitals.",2025-05-14T10:47:53.000Z
https://www.instagram.com/p/DGQ3EhPSQPc/,150,"17w
DELHI CAPITALS BEAT UP WARRIORZ BY 7 WICKETS..!!!!",2025-02-19T17:52:08.000Z
https://www.instagram.com/p/DK4YjjkzUJ0/,16,"6d
Did you know Axar Patel started as a fast bowler before becoming India’s go-to spinner?
From domestic debut to becoming T20 Vice-Captain and captain of Delhi Capitals, his journey is all grit and grind.

And guess what? He took 7 wickets in his Test debut that too against England! 🇮🇳💥

👉 Which Axar moment do you remember the most?

          updates news  india  news updates",2025-06-14T12:20:42.000Z
https://www.instagram.com/p/DI-miivT7Zr/,"11,480","7w
Delhi Capitals have used 5 opening pairs in this season ( most by any team in IPL 2025 )",2025-04-28T05:15:33.000Z
https://www.instagram.com/p/DJ8jErBPedY/,"7,145","4w
🏏 Seasons: 18
🏆 Champions: 0
🥈 Runners-up: 1
🥉 Playoff Appearances: 6
❌ League Stage Exits: 12

From 2008 to 2025, Delhi Capitals have reached the final only once and are still in pursuit of their first IPL title!💔",2025-05-22T06:38:10.000Z
https://www.instagram.com/p/DIESub4Tlc9/,,"10w
Delhi Capitals win in Chepauk after 15 years! Move to the top of the table!",2025-04-05T13:46:27.000Z
https://www.instagram.com/p/DIhHcbfyVVr/,446,"9w
Delhi capitals won the super over 🔥
        
  #
    
  
  
       
⏩⏩ Must follow for latest updates 📢
👉👉 @thecrickettime.in 
👉👉 @thecrickettime.in 
👉👉 @thecrickettime.in 
👉👉 @thecrickettime.in",2025-04-16T18:25:51.000Z
https://www.instagram.com/p/DIjiuL7vV3G/,14,"9w
🔥 DELHI CAPITALS TURNED UP THE HEAT! 🔥
From 111/4 in 15 overs to smashing 77 runs in the final 5! 💥

What a finish! What a fight! 💪
This is how you make a statement in ! 💙❤️

DC fans, how loud did you cheer for this comeback? 
🔊 Drop 🔥 in the comments if you loved this power-packed finish!

Follow 👉 @mahilohendra for non-stop cricket energy ⚡",2025-04-17T17:02:41.000Z
https://www.instagram.com/p/DIvqjvKytJk/,,"8w
Lucknow Super Giants 🆚 Delhi Capitals 🏏🔥

A fierce IPL clash! Who takes the win? 💰🏆

Bet now 👉 syms.cc/inu3oo",2025-04-22T10:02:07.000Z
https://www.instagram.com/p/DJqpmz-Noos/,35,"5w
Delhi Capitals' New Weapon: Mustafizur Rahman 💥",2025-05-15T07:48:55.000Z
https://www.instagram.com/p/DJTkMghTZO_/,119,"6w
Delhi Capitals in IPL 2025 so far 👀 

 2025",2025-05-06T08:39:07.000Z
https://www.instagram.com/p/DIhGyvdTlfN/,,"9w
Delhi Capitals beat Rajasthan Royal in the super over",2025-04-16T18:20:10.000Z
https://www.instagram.com/p/DJtjFDrtDuh/,5,"5w
Delhi Capitals hit with major setbacks ahead of IPL 2025 restart! Four overseas stars unavailable! 
       Restart Squad      News",2025-05-16T10:49:40.000Z
https://www.instagram.com/p/DJZDwPxShpQ/,,"6w
Get ready for the showdown tonight!
Delhi Capitals vs Punjab Kings – 8th May, 7:30 PM
Big match, bigger wins with 100XWINS
⚡Up to 50% Bonus on New ID
⚡15% Bonus on Every Refill
⚡1 Min Deposit | 5 Min Withdrawal

Join now & get your ID!

       

WhatsApp: +44 7587 966829
Instagram: @100xwinsofficial
Website: 100-x.win",2025-05-08T11:51:04.000Z
https://www.instagram.com/p/DJ8NjvoyU9R/,"2,222","4w
Delhi Capitals failed to qualify even after winning first 4 matches. 🤐❌",2025-05-22T03:31:00.000Z
https://www.instagram.com/p/DHynKUTzSQF/,"2,017","11w
DC vs SRH: The Battle for Dominance!

Get ready for a thrilling encounter as the Delhi Capitals take on the Sunrisers Hyderabad! KL Rahul is back and Axar Patel is ready to take on Pat Cummins and Travis Head. Here’s your ULTIMATE MATCH PREVIEW!

Key Players to Watch
Head-to-Head Stats
Pitch Report & Conditions

Don’t miss out!",2025-03-29T16:58:43.000Z
https://www.instagram.com/p/DIifWgZyBAZ/,"734,492","Edited
•
RR wicketkeeper @dhruvjurel in action during the Indian Premier League 2025 cricket match between Rajasthan Royals (RR) and Delhi Capitals (DC), at Arun Jaitley Stadium in New Delhi, Wednesday, April 16, 2025.@arunsharmaht 

On assignment @ptinews_multimedia 

            capitals",2025-04-17T07:44:47.000Z
https://www.instagram.com/p/DJj-8ErSeN6/,445,"5w
The match between Punjab Kings and Delhi Capitals has been rescheduled to 24th May, 2025🙌

📸: IPL/BCCI

         2025  2025",2025-05-12T17:40:39.000Z
https://www.instagram.com/p/DIRl1fzvsiB/,7,"10w
DC Thrash RCB! Delhi Capitals Win by 6 Wickets in IPL 2025 Match 24 
          vsDC    InTrouble 2025    Struggles",2025-04-10T17:43:35.000Z
https://www.instagram.com/p/DGm8IZCMcHw/,,"16w
🏏 Game Day! 🏏
The battle is on as Delhi Capitals take on Mumbai Indians in an electrifying cricket showdown! Who will seize the win today? 🏆🔥

📅 Date: 28th February
📍 Game: Delhi Capitals vs Mumbai Indians

📱 Join now: www.megabook.bet
📱 Need help? Reach us via WhatsApp: wa.link/megabook

     Fans    India Match",2025-02-28T07:39:39.000Z
https://www.instagram.com/p/DIiJNk7yIsL/,2,"9w
Delhi Capitals seal the win in the Super Over! 🙌

Back-to-back thrillers in IPL 2025! 🔥",2025-04-17T04:00:33.000Z
https://www.instagram.com/p/DHl3MRwziGm/,628,"Edited
•
WHAT A HISTORIC CHASE BY DC YOUNGSTERS🤩💙

Delhi Capitals Won by 1 wicket 🤯

📸©IPL

 2025",2025-03-24T18:09:24.000Z
https://www.instagram.com/p/DHOuDYRTrMN/,77,"13w
𝑨𝒈𝒐𝒏𝒚 𝒊𝒏 𝒕𝒉𝒆 𝑭𝒊𝒏𝒂𝒍𝒔! 😢

Three seasons, three finals, three heartbreaking losses for Delhi Capitals 🏆💔",2025-03-15T18:26:15.000Z
https://www.instagram.com/p/DIRnwYeMxmP/,"17,591","10w
DC UNDER AXAR PATEL>>>🔥

Delhi Capitals is yet to lose a match in this IPL 2025💯",2025-04-10T18:00:21.000Z
https://www.instagram.com/p/DGFFPGLS1zI/,4,"18w
🏏 IT’S GAME TIME! 🏏

🚨 Delhi Capitals vs Mumbai Indians 🚨
📍 Venue: BCA Stadium, Vadodara
📅 Date: 15/02/2025
⏰ Time: 7:30 PM

🔥 The stakes are high, the energy is electric, and the battle for glory is ON! Will Delhi Capitals bring the fire, or will Mumbai Indians steal the show? 🌟

💬 Drop your predictions & tag your squad! Who’s taking the WIN? 🏆👇

        team   💙     poster",2025-02-15T04:05:06.000Z
https://www.instagram.com/p/DDnw1g4yQuO/,,"26w
Delhi Capitals look to fine-tune squad at WPL 2025 Player Auction
 l  l 
http://www.vannewsagency.com/detailsnews?newsid=VN18529619312",2024-12-16T01:46:01.000Z
https://www.instagram.com/p/DKC8BFhzpF4/,6,"3w
What a chase by Delhi Capitals! 🔥💙
Under pressure and under lights, DC hunted down the target with style and steel! 🏏⚡
Sameer Rizvi’s blazing 58 🔥 and a calm finish sealed the 6-wicket win over Punjab! 🙌
Playoff hopes still alive. Dilli ka jazbaa on full display! 💪",2025-05-24T18:11:34.000Z
https://www.instagram.com/p/DH2RPKNSsVQ/,,"11w
Ghibli, Delhi Capitals💙🐯 

Meg Lanning,",2025-03-31T03:04:05.000Z
https://www.instagram.com/p/DK_3Qm-IjD_/,672,,2025-06-17T10:03:42.000Z
https://www.instagram.com/p/DIwiFSytZK4/,,"8w
Dominant display by Delhi Capitals as they secure a comprehensive 8-wicket win over Lucknow Super Giants! 🥶

That’s the 6th win for DC in IPL 2025…!!! The momentum is building strong heading into the second half! 
     2025",2025-04-22T18:07:13.000Z
https://www.instagram.com/p/DKBeC0PttVm/,,"4w
🔥 IPL 2025 | Match 66 – Punjab Kings vs Delhi Capitals!

📅 Date: May 24, 2025
🕢 Time: 7:30 PM

🏏 PBKS 🆚 DC – Who's your pick for glory tonight?

💸 Play Now | Win Big on MY99EXCH.AI
📲 WhatsApp Us: +91 9488810067

It’s time to turn your cricket craze into real cash rewards!",2025-05-24T04:30:25.000Z
https://www.instagram.com/p/DGxjrB0x88v/,,"15w
A new era awaits Delhi Capitals! 🏏🔥
Will it be Axar Patel, KL Rahul, or Faf du Plessis leading the charge in IPL 2025? 

Share your thoughts and let the debate begin! 💬⚡",2025-03-04T10:37:35.000Z
https://www.instagram.com/p/DI09VRkRw_0/,,"Edited
•
Delhi capitals are on a mission in IPL 2025 🏏💥",2025-04-25T05:57:00.000Z
https://www.instagram.com/p/DIg7jviPYRi/,15,"9w
💥WHAT A FINISH BY DELHI CAPITALS!
🔥From 111/4 in 15 overs to 188/5 in 20 — DC turned the game around in style!
💥This is how you make a statement in the death overs!

    

🏏Cricket fans, did you expect this turnaround? Let us know your thoughts below!

      Fans",2025-04-16T16:41:59.000Z
https://www.instagram.com/p/DKC-npQBKm0/,372,"3w
We B.E.L.I.E.V.E. ❤️💙
We stand by you—today and always. @delhicapitals
@dctoli 

[Heartbreak, TATA IPL, loyalty, DC, Delhi Capitals, Final match, DC vs PBKS]",2025-05-24T18:34:18.000Z
https://www.instagram.com/p/DHlOthxTIy1/,42,"12w
Delhi Capitals are ready to dominate the field, and we’re here to dominate the forex game! Get the best exchange rates and seamless international transactions with EbixCash World Money. 🌍💸

💙 Fast. Reliable. Hassle-Free. Just like DC’s power-packed performances!",2025-03-24T12:14:56.000Z
https://www.instagram.com/p/DKELkCWzWAH/,"28,851","3w
Well played Delhi Capitals💙👏🏽",2025-05-25T05:46:40.000Z
https://www.instagram.com/p/DJ3OuG5JHLO/,233,"4w
delhi capitals 2019-2021 era🥺

                   
   century         
@shreyasiyer96 @rishabpant @lucknowsupergiants @shikhardofficial @delhicapitals",2025-05-20T05:04:07.000Z
https://www.instagram.com/p/DIEuXIGyI04/,394,"10w
Delhi Capitals are the only unbeaten team in the IPL so far 🔥",2025-04-05T17:47:56.000Z
https://www.instagram.com/p/DGn8MNRyXcO/,78,"16w
DELHI CAPITALS - TOP OF THE POINTS TABLE IN WPL 2025 🏆

  2025",2025-02-28T16:59:25.000Z
https://www.instagram.com/p/DJCAhg5TAuo/,,"7w
Ready for an epic battle!👑
Can the Delhi bowlers contain the Kolkata batsmen?🏏

🏏 Delhi Capitals vs Kolkata Knight Riders 
📅 April 29 | 7:30 PM IST
📺 Watch it LIVE on Crix11!

           fans

[ live casino, sports betting, cricket betting, ipl betting, bet on ipl 2025, IPL2025, KKRvsDC, IPL LIVE MATCH ]",2025-04-29T13:00:19.000Z
https://www.instagram.com/p/DJBfsgSzDP5/,47,"Edited
•
Watching my first live IPL match — Delhi Capitals vs Royal Challengers Bangalore — was nothing short of magical.

I witnessed something truly unforgettable on 27th April 2025.

As someone who is a Delhi Capitals fan through and through, my heart was, of course, rooting for them.
Even though the total wasn’t massive, the way DC kept fighting for every ball was inspiring to watch.

And yet, sitting there in the stands, I couldn’t help but be in complete awe of how Bangalore turned their game around.

Bangalore stumbled early — 25/3 in 4.1 overs. Most would have thought it’s over. But that’s when true character shines through.

Virat Kohli and Krunal Pandya rebuilt the innings with quiet determination. They didn’t let a collapse define them. They stayed. They fought. They won.

And somewhere amidst the roars of the crowd, I realized — this is life.

You’ll fall. You’ll get bowled over. Life will throw impossible situations.
But as long as you show up, fight back, and trust your process, you’re already winning.

This match wasn’t just about cricket. It was a masterclass in resilience and sportsmanship.

Here’s to never giving up — no matter what the scoreboard says.

Picture Credits: Photos sourced from the official Instagram pages of Delhi Capitals and Royal Challengers Bangalore.",2025-04-29T08:14:22.000Z
https://www.instagram.com/p/DIhG1jSSMQb/,4,"9w
Delhi Capitals seal the win in the Super Over! 🙌

Back-to-back thrillers in IPL 2025! 🔥",2025-04-16T18:20:33.000Z
https://www.instagram.com/p/DE5ABUtN7gh/,,"22w
Axar Patel to captain Delhi Capitals this year !!",2025-01-16T14:57:11.000Z
https://www.instagram.com/p/DJ3YbLJyvuZ/,341,"4w
Here are the IPL 2025 playoff scenarios for Mumbai Indians and Delhi Capitals🙌

Swipe to see the full album⏪⏪

  𓃵                2025",2025-05-20T06:28:55.000Z
https://www.instagram.com/p/DHL6mn5R-Ux/,2,"14w
Delhi Capitals' Captaincy Timeline! 🔵✨

Axar Patel becomes the 14th captain to lead the franchise in IPL history 🤝

Can he be the first to bring the trophy home? 🏆🤔",2025-03-14T16:18:12.000Z
https://www.instagram.com/p/DIQDuNESyFu/,3,"10w
Delhi Capitals vs Royal Challengers Bengaluru 
Indian Premier League 2025 

 2025",2025-04-10T03:26:15.000Z
https://www.instagram.com/p/DIEIP_tIDVw/,"9,898","10w
Both in delhi capitals 🔥🔥🔥
   

Follow @cricket_news_analysis for more update.

📷gettyimage
📷BCCI/IPL",2025-04-05T12:14:56.000Z
https://www.instagram.com/p/DIxz4cUsOEt/,2,"8w
Dominant win for Delhi Capitals! 💙🔥
Chasing 159, DC put on a clinical batting performance to reach 161/2 in just 17.5 overs, sealing a convincing 8-wicket win over Lucknow Super Giants! 💪👏 https://cric-mate.com/latestnews/lsg-vs-dc-highlights-delhi-capitals-win-by-8-wickets-in-ipl-2025-match-40
 
🏆 Player of the Match: Mukesh Kumar – delivered a brilliant spell of 4/33, setting the tone early with the ball! 🎯💥",2025-04-23T06:02:00.000Z
https://www.instagram.com/p/DIEwnveT7Os/,"18,535","10w
Delhi Capitals are currently the only unbeaten team in IPL 2025!🔥",2025-04-05T18:07:42.000Z
https://www.instagram.com/p/DIwDsz5Pxpe/,,"8w
🏏DELHI CAPITALS 🆚 LUCKNOW SUPER GIANTS 🏏
💸 Why wait for luck when you can make it happen?
Join Baaziii365.com today for nonstop excitement, thrilling games, and BIG rewards!
🔥 Click now to play! www.baaziii365.com
Get ID - https://wa.me/917738069581",2025-04-22T13:41:45.000Z
https://www.instagram.com/p/DKrCyfjtPfc/,18,"1w
Behind the Scenes of the IPL 🏏

From packed stadiums to midnight recovery sessions — get an inside look at what it’s really like to be a physiotherapist in one of the world’s biggest cricket leagues.

Working with the Delhi Capitals during IPL18 was intense, inspiring, and unforgettable.

👉 Curious about the highs, the hustle, and the healing?
Read the full story on our website blog now. https://dbnphysio.com/inside-the-ipl-my-experience-in-crickets-grandest-league/

     @renaavsinghphysiotherapy",2025-06-09T08:00:22.000Z
https://www.instagram.com/p/DG4t6gUvnVD/,14,"15w
1️⃣ Gujarat Giants 🆚 Delhi Capitals (TATA WPL 2025) 📢🔥
🏏 TATA WPL 2025 | 17th T20 Match
📅 Friday, 7th March 2025
⏰ 7:30 PM IST

⚡ Who will dominate this epic showdown? Gujarat Giants or Delhi Capitals? ⚡

💰 Play & Win Real Cash on Action777.club!
✅ 24x7 Online Games
✅ Self Deposit & Withdrawal
✅ 100% Legal & Trusted

📢 Sign Up Now 👉 www.action777.club",2025-03-07T05:21:45.000Z
https://www.instagram.com/p/DHGW-yzpaYo/,632,"14w
Delhi Capitals dominate! 👑 3rd consecutive WPL final under Meg Lanning’s brilliant leadership! 🔥",2025-03-12T12:30:43.000Z
https://www.instagram.com/p/DHKpqkzI85U/,16,"14w
🚨BREAKING🚨

Axar Patel Named Delhi Capitals Captain Ahead Of IPL 2025 Season!",2025-03-14T04:30:57.000Z
https://www.instagram.com/p/DIfpF0aCOTa/,,"9w
Delhi Capitals vs Rajasthan Royals 
Indian Premier League 2025 

  2025",2025-04-16T04:41:25.000Z
https://www.instagram.com/p/DHOTqrwtY9Q/,199,"13w
Geared up. Game on. Here’s wishing team Delhi Capitals all the very best as they take the field today—time to rise, roar, and rule! 🏏✨

 Sports",2025-03-15T14:35:41.000Z
https://www.instagram.com/p/DJ7PWK2B71p/,"15,626","4w
Four consecutive seasons without a playoff spot for Delhi Capitals! 😢❌

The wait continues for DC to lift their first-ever IPL trophy 💔",2025-05-21T18:26:33.000Z
https://www.instagram.com/p/DJzezTThdPK/,"225,461","4w
Delhi Capitals 🫡

  capitals",2025-05-18T18:07:41.000Z
https://www.instagram.com/p/DHlW_IJSOJi/,"38,505","12w
🚨 NEWS : KL Rahul will miss the first match of Delhi Capitals as he's expecting the birth of his first child.",2025-03-24T13:27:14.000Z
https://www.instagram.com/p/DJaPsJcz5QE/,5,"6w
Following a floodlight failure, the match between Punjab Kings and Delhi Capitals has been called off,",2025-05-08T22:54:36.000Z
https://www.instagram.com/p/DJSAwIYyepg/,91,"6w
Delhi Capitals hang on in the race for the playoffs while Sunrisers Hyderabad have been eliminated🙌

            2025",2025-05-05T18:10:10.000Z
